"","Group.1","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"1",1,0.0424838709677419,0.0506129032258065,0.065741935483871,0.0280322580645161,0.0337741935483871,0.0374193548387097,0.0355483870967742,0.0345161290322581,0.0609677419354839,0.0241935483870968
"2",2,0.0358571428571429,0.04625,0.0605,0.0168571428571429,0.0210714285714286,0.029,0.0334642857142857,0.0385357142857143,0.0471428571428571,0.0237142857142857
"3",3,0.037258064516129,0.0490322580645161,0.048,0.0166451612903226,0.0218709677419355,0.0238064516129032,0.0266129032258065,0.0301935483870968,0.0379677419354839,0.0186451612903226
"4",4,0.0263,0.0408,0.0460666666666667,0.0171333333333333,0.0170666666666667,0.0213,0.0113666666666667,0.0274333333333333,0.0225333333333333,0.0164
"5",5,0.0378709677419355,0.0418064516129032,0.0554193548387097,0.0159032258064516,0.0130967741935484,0.0148064516129032,0.00970967741935484,0.0237741935483871,0.0184838709677419,0.0154838709677419
"6",6,0.0315333333333333,0.0207333333333333,0.0578,0.0153,0.0110333333333333,0.0126333333333333,0.0109,0.0179333333333333,0.0176333333333333,0.0147
"7",7,0.0226451612903226,0.018258064516129,0.0315161290322581,0.0169032258064516,0.0139354838709677,0.0111612903225806,0.00903225806451613,0.0101935483870968,0.0155483870967742,0.0134838709677419
"8",8,0.0314516129032258,0.0211935483870968,0.0177741935483871,0.0260645161290323,0.0189677419354839,0.0113548387096774,0.00864516129032258,0.0122903225806452,0.0184838709677419,0.039
"9",9,0.035,0.0267666666666667,0.0171666666666667,0.0264666666666667,0.0229333333333333,0.0167666666666667,0.0133333333333333,0.0144333333333333,0.0212666666666667,0.0496666666666667
"10",10,0.0317741935483871,0.0510967741935484,0.0152258064516129,0.0250322580645161,0.0209032258064516,0.0251290322580645,0.0279032258064516,0.0171935483870968,0.0235806451612903,0.0584516129032258
"11",11,0.0418666666666667,0.0511333333333333,0.0174333333333333,0.0312,0.0216333333333333,0.0472666666666667,0.0341,0.0330333333333333,0.0216666666666667,0.0787
"12",12,0.0491612903225806,0.0674516129032258,0.0168387096774194,0.0348387096774194,0.0288387096774194,0.022741935483871,0.0413225806451613,0.046741935483871,0.0204516129032258,0.0781290322580645
